,comments
256, username  càng nói càng lộ
257,Quốc nhục quốc hận
258,Dí ả ngọc mu tới cùng cho t
259,Dm theo cái chương trình 3///
260,"Ko ấy cả nhà a thoát Việt mẹ đi cho chúng tôi nhờ :)) tha hồ sang ""Mỷ"" ăn bơ thừa sữa cặn :)) quá là tuyệt vời :))"
261, username  fan TLTV chắc luôn
262,3/// vẫn là 3/// đéo nói nhiềub
263,Ở đây chúng tôi ko nghe giải thích ba láp ba xàm ba que . Lêu lêuuuuuuu
264,"Tay dơ thì lấy nước rửa, nước dơ thì lấy máu mà rửa… cơ 3 que thì dơ mắt rồi"
265,Nhìn thấy cờ 3que mà còn chụp hình thì thứ nhất là dốt thứ 2 là nó đã nhận 3que là quê hương nó
266,Có khi nào là cố tình để lấy 1 vé đi Mỹ ko :)))
267," username  nó đăng bài hoàn thành giấc mơ mẽo rồi mà bạn. Chắc có thẻ xanh rồi, nên h ko giấu nữa."
268, username 
269,"Vậy là biết thừa có chiến dịch này mà vẫn cố tình tgia thì ko p là vô tình đâu, cút đi cho khuất mắt"
270,Phong sát ngay và liền
271,"Có ai dám cắm cờ cộng sản Việt Nam ở Mỹ không? câu trả lời là không có. Tất cả chúng ta đều biết lý do tại sao. Chỉ có thể có một lá cờ Việt Nam trên đất Mỹ. Nếu bạn đặt sai, bạn sẽ bị phân biệt đối xử."
272, username  cờ nào là cờ cộng sản thế bạn? Cờ đỏ sao vàng là Quốc kỳ hiện tại của Việt Nam và được thế giới công nhận chứ không phải là cờ của riêng Đảng Cộng sản Việt Nam nhé. Phân biệt cho rõ rồi hẵng nói phân biệt này nọ
273," username  Tôi đồng ý với bạn. Lá cờ hiện tại được tất cả các quốc gia thừa nhận, nhưng bạn đã thấy ai treo lá cờ đó và sống hòa bình ở Mỹ chưa? Câu trả lời là chưa. Bạn có thể cung cấp cho tôi bằng chứng nếu bạn không đồng ý."
274," username  bạn có nhầm lẫn sự việc không thế? Ai bắt chúng nó phải treo cờ Việt Nam trên giường đâu? Chúng nó là nghệ sĩ, hoạt động trong nước, thậm chí được phong tặng danh hiệu cũng từ trong nước thì phải có ý thức. Cái tối thiểu là phải ki… See more"
275," username  còn việc treo cờ Tổ quốc bên Mỹ, bạn nên qua địa chỉ này nhé xem có hoà bình không. Chỗ đấy treo công khai đấy"
276," username  vâng, chỉ có đại sứ quán. Tôi đang nói về sở hữu tư nhân. Không có chủ sở hữu tư nhân nào như chủ nhà hàng, quán cà phê dám treo cờ. Tôi nghĩ có rất nhiều người Việt Nam muốn đại diện cho lá cờ nhưng họ không thể, điều đó rất đáng tiếc nhưng đó là thực tế."
277," username  dân bên ấy t ko nói ,nhưng người Việt Nam dc tổ chức cờ vàng mời diễn có dc từ chối ko.Nên sai vẫn là sai"
278, username  mẽo là cdb gì mà phải cắm cờ trên đất mẽo?? Tư duy nô lệ ngấm vào máu rồi à
279,Lê Ngọc Thụy chuẩn bro nói hay
280," username  phép vua thua lệ làng, cờ VN ở ngoài DC thì treo để ngoại giao giữa các nước thôi, còn người Việt sống ở Mỹ từ xưa đến nay đều treo cờ kia cả. Sống ở đâu thì phải theo ở đó, chứ chưa thấy chỗ nào treo cờ Toquoc ở đây cả ( trừ Dc). Còn muốn… See more"
281,"Wink Lash con điên, mày có cần tao show ra bao nhiêu bang ở Mỹ tao đã đi qua không? Ngu thì ngậm mẹ mày mõm vào mà đọc lại điều tao viết ở trên kia kìa. Visa Mỹ mà làm như ảnh thờ nhà mày không bằng. Hãm lọ"
282,"Wink Lash có cái ccc nhé,cái loại ngu thì bị phải treo thôi, chắc chúng tao thích qua đó quá"
283, username  chả có nhẽ chỉ vì 1 con “butterfly break” mà lại phải trưng cái visa mình đã có đôi ba lần cho nó xem để nó thấy nó hạ đẳng ntn =))
284," username  Dtcn nghĩ bên đó là cái lol gì ko biết, bên đó đang khổ nhăn răng ra, tinh tướng"
285," username  nó chắc đ gì đi được bên đấy nhiều bằng anh luôn ý. Đã là cái phận tha hương thì ngậm cmn mõm vào mà kiếm sống, hoặc không thì chí ít cũng nói năng lịch sự như cái cậu bên trên, đây lại thích ngồi dưới hố xí nghĩ trời nó bé bằng cái lỗ cơ =))"
286," username  còn ko có tiền mà về kia kìa , về xong thấy sướng quá lại ko dc ở lại mới tổn thươnnnn cơ, ờ kerrr"
287, username  lại còn chỉ cách cho mình xin visa đi du lịch và check in nữa mới HÀI chứ. Cười té cmn ghế ngài ạ. Chả nhẽ lại hỏi nó biết Cơ Thiếu Hoàng không. Mà hỏi chắc cũng méo biết. Bị ngu mà =))
288, username  🙂‍↔️
289," username  760 United Nations Plaza, New York, NY 10017, USA. Địa chỉ này cũng có treo cờ đỏ sao vàng nè."
290," username  du học sinh các bạn ấy treo đầy cờ Việt Nam đấy, bố cái loại ất ơ tự nhục"
291," username  treo thầm thôi , không có quán ăn, Café nào hết. Có rất nhiều người qua đây sống và kinh doanh nhưng tôi chưa thấy ai dám làm. Chưa có nào gắn cờ, gắn là bị đập. Nói chung là thù hận cũng trăm năm nữa may ra hết . Tôi thấy làm t… See more"
292," username  qua đây là đâu? Cali hả, tàn dư nguỵ quyền thì chả thế Làm gì mà mấy trăm năm nữa, đám nguỵ già may ra được chục năm nữa."
293,"Và hai vợ chồng nó lại trở về nói tiếng Việt, kiếm tiền Việt trên đất Việt Nam. Ko tẩy chay triệt để thì hơi phí."
294,Thanh minh là thú tội mà tội phản quốc là tẩy chay.
295,Q.N càng làm tôi thêm yêu cơ thủ Trần Quyết Chiến
296,Phong sát
297,"3 que từ trong máu ôi cái đám nghẹo sĩ phia nam bị bà H chửi tan nát củng đúng, kiếm cơm kiếm cháo tạo dk thuận lợi cho lên làm ba làm má thiên hạ xong cuối đời bòn tiền qua mẽo đế ăn c ứt vàng quay lưng với dân tộc, lũ khốn nạn."
298,"Vào Tập đoàn BĐS Thiên Khôi kiếm thu nhập không giới hạn, thời gian làm việc tự do, đào tạo bài bàn cầm tay chỉ việc, môi trường chuyên nghiệp. Liên hệ tìm hiểu công viêc. Mr Hiếu: 09166.177.39."
299, username  vào thắp hương bố mài à
300,Vô tình gì thì khi vô phòng sẽ thấy 2 lá cờ cắm chà bá trên đầu giường. Ng tinh tế hay ko tinh tế đi nữa khi thấy 2 lá cờ đó ngta cũng sẽ đem dẹp đi. Này là cố ý và coi đó là hiển nhiên mới k đem đi dẹp. Này thì mong cơ quan chức năng làm mạnh tay
301,"Coi mấy thướt phim ông cha ta bị hành hạ , tra tấn bao nhiu thì căm phẩn con này bấy nhiu. Ko để vụ này chìm dc"
302,"Là vừa mún húp tiền Việt, vừa mún bợ đít bọn đu càng hả ta. Khôn dữ"
303,1 pha đi vào lòng đất. NSUT quả này lại ảnh hưởng rồi.
304,Nghiệp súc
305,"Loại nào chứ loại 3que thì cútt con mẹ nó hết đii , giờ có kể sao hạng A hay gì thì t cũng chửi cho thúi đầu"
306,Không nói nhiều: Hai con chó
307,Haizzz cãi nhau chi nhỉ.
308,Đến giờ tui vẫn nghi vụ anh Tô vu khống chắc có gì đó để tẩy trắng
309,dm  username 
310,Lòi l chiến này
311,Nguyên một tổ chúc luôn  username 
312,Ủng hộ CQCN làm mạnh tay ko có loại trừ ai
313,Thôi thì đã lỡ sa CƠ Ngày mai thất NGHIỆP mình làm ÔSIN
314,"ai thờ chủ nấy kệ họ đi, như trung quốc với đài loan tuy chính trị bất đồng nhưng dân họ vẫn yêu mến nhau..diễn viên, ca sỹ đài qua trung dc chào đón quá trời..ghét nhau thì nhà cũng ko to ra dc miếng nào ghét làm gì."
315,"Thật sự t đi Phú Quốc du lịch về, được tham quan di tích Nhà Tù t thực sự căm phẫn và ghét cay ghét đắng cái lũ Việt Nam Cộng Hoà, lũ Nguỵ Quyền bán nước hại dân, lũ phản phúc. Cho nên dù có yêu thích hay thần tượng gì đi nữa, cứ dính dáng đến cái lũ ấ… See more"
316,Ở bển luôn khỏi về
317,Thôi quả này ở bển luôn thôi. Về là bị bế lên phường đấy .
318,Cầm cờ đỏ sao vàng chạy 1 vòng Cali chửi lũ cộng hoà bán nước cầu vinh chúng tao tin.
319, username  giống điên quá. Trả về nơi sản xuất ngay và luôn. Ở lại làm dơ bẩn nước người ta
320, username 
321, username 
322,Sao càng gỡ càng rối vậy
323,"Phản động bóc phốt nhau, hay nè"
324,Có con trẻ đi du lịch hè mà nói không kiểm soát lịch trình nơi ăn chốn ở thì không tin được.
325,Thì cái này họ vô tình thật mà... Vô tình bị phát hiện
326,"O tròn như quả trứng gà Ô thì đội mũ Ơ kìa 3 q,u,e"
327, username  chả có vô tình gì ở đây cả đúng khônv Long. Mắt anh có mù đâu mà không thấy cái cờ nằm ở đó
328, username  mọi người vào nhóm tẩy chay bọn 3 ke đi ạ
329,Ủa có gì hot mình bỏ qua rồi sao
330,"Nói thật bọn 3 que chả cái đếch gì, ông cha nó nhận bọn Tây làm tổ tiên, xong quay lưng chía vào người mình, súc vật thật t mà thấy t cắt cổ chúng"
331,"Đất nước đổ bao xm để dành độc lập, bọn 3/ bán nước vẫn giữ lá cờ đó hoạt động hội nhóm công khai thế này đuôi hay sao mà vô tình. Hoạt động chung để nhóm này lớn mạnh phản nước lần nữa hay j?"
332,Bò đỏ nhiều quá
333,"Showbiz Việt ấp cả lò phản động ấy chứ :)))) Cầm đầu hội Hoài Linh, Trấn Thành, Đàm Vĩnh Hưng.... đồ nè Dây mơ rễ má 1 bọn chống phá kích động dữ lắm"
334,"TỘI GÌ CÓ THỂ THA THỨ CHỨ TỘI NÀY THÌ CHỈ CÓ ""CÚT"""
335,Đang thèm đi mỹ ngụy
336, username  sao mà lại anti chị O Súng vậy
337, username  3 que xỏ lá. di chêt bẹ n đi chứ chệ kkk
338, username  khỏi lươn
339,Trước năm 95 mấy tổ chức này đâu sao ko hiện lên trả nợ cho bọn Mỹ đi nhỉ dân Việt Nam còng lưng trả hết nợ thì bọn nó lại lòi ra như nấm
340,"Cho mình hỏi có cờ đó là thực sự sẽ theo phe phản việt hả mn,kiểu có làm hành động gì ảnh hưởng đất nước hả, tại bên ng quen mình hình như có"
341," username  Chính quyền bất hợp pháp, việt nam cộng hoà ra đời 1 cách bất hợp pháp trên lãnh thổ phía nam của Việt Nam"
342," username  thời đấy có ông ngô đình diệm do mỹ đưa về Việt Nam làm thủ tướng trong chính phủ bù nhìn của ông vua bảo đại, ông diệm dùng mưu hèn kế bẩn giúp Mỹ với tư cách thủ tướng. Sau đấy dựng lên việt nam cộng hoà, ông diệm sử dụng nhiều cách thức ma… See more"
343, username  cờ từ thời vua Thành Thái có học lịch sử không vậy.
344, username  mình nghèo không đi học mà :(( đi học thì mình tự hiểu rồi ấy hic
345," username  lá cờ của ngụy quyền, chính quyền bù nhìn được mỹ lập nên để choa cắt Việt Nam, không cho nước ta được độc lập. Bọn nó sau khi bị bộ đội đánh đuổi qua mỹ vẫn luôn công khai chống đối chính quyền Việt Nam hiện tại, nhiều lần bơm tiền cho mấy đ… See more"
346,1 ổ 3 que nằm vùng.cãi thế qué nào được
347,Dí tới chết nào
348,Qua mỹ bị dính đòn quẻ ly là bình thường
349,Ai phong nghệ sỹ cho bọn này
350,Tụi bây óc trâu ghê. Ở vn nghèo ăn mì gói lái xe máy hít khói bụi mà làm như văn minh hiện đại lắm vậy. Chửi ngta hởi ra cái cali hở ra cái khát nước. Cả đời chưa bước qa đc mỹ hay châu âu. Đố kỵ khi ngta đc vây hay gì cứ soi mối tụi nó nổi tiếng lên c… See more
351, username  bạn gửi tâm thư này tới trụ sở United Nations ở New York nha có treo cờ đỏ sao vàng á chắc họ sẽ nghe bạn ngay thôi.
352,Đấng hiện lên và nói
353,K cần nói nhiều. Anh chị vs cả dòng họ anh chị dùng fb và các nền tảng xh ghi: 5 điều Bác Hồ dạy và khẩu hiệu Đảng CSVN quang vinh muôn năm. Bác hồ kính yêu muôn năm. Như vây sẽ xem xét có tha thứ hay k. Thế nhé. Nhà bao việc:))
354, username  ăn tiền của bọn 3que h mà làm vậy chắc bọn nó khử luôn quá :))
355, username 
356,"Ở bên Mỹ sao k nói tiếng mỹ đi, nói tiếng Việt Nam làm gì ta"
357, username 
358, username  khúc này k ai gánh nổi mấy má này
359,Oi khỏi thanh minh nguỵ biện chuyện gì chứ chuyện nầy cơ nghiệp tan tành theo mây khói chuyến nầy gđ cơ nghiệp đi xa lắm
360,"Có hay không,cần phải xem xét lại các nghệ sĩ, ở nhà thì yêu Nước, người dân yêu mến.qua mẽo một cái là ôm cờ ba vạch, kẻ thì chê bai người dân lười nhác, BVH cần phải thẳng tay cấm sóng,thu hồi danh hiệu, không cứ phạt 7,5 tr họ coi thường"
361, username 
362,Đệ ruột thích chân Quang bảo sao
363,Tẩy chay mẹ đi cho nhanh. Con Ngọc Mai hồi trước bị khai trừ khỏi đảng thì chắc chắn phải là lý do nhạy cảm
364, username 
365,"R ý là muốn ăn cả cơm, ăn cả cc/ứt à =)))))"
366,Cha ngu hại con thêm con vợ ngu. Ko học lịch sử hay gì
367,liên quan tới 3 que cứ thẳng tay mà tẩy chay và cấm sóng. như tẩy chay ông hoài linh vậy á.
368,Ai chứ t chả tiếc j nhé.
369,Buyến
370,"Phân trần thì lại càng khẳng định trong hội 3 que, khát nước"
