comments,nametag
"Trần Tiến Đạt feedback đầy
của khách quen linkshop ở trên fb e nha:))",Trần Tiến Đạt
Trần Tiến Đạt ca dam nhan vien lanh su quan viet nam tai Cali cung nhu o Houston hay la DSQ tai DC cung chua dam lam vay.,Trần Tiến Đạt
Huy Tran vì sợ dẫm phải cứt trên đường sao ?,Huy Tran
"Trần Tiến Đạt Thông tin 24h
New
BỘ VĂN HOÁ LÊN TIẾNG XÁC MINH VỀ LÁ CỜ 3 SỌC TRONG ĐOẠN VIDEO
https://facebook.com/l.php?u=l-fb.co/profile/id-100379976260588",Trần Tiến Đạt
"Trần Tiến Đạt Xác minh thông tin hình ảnh cờ vàng 3 sọc trong clip của gia đình Quốc Nghiệp
https://facebook.com/l.php?u=l-fb.co/profile/id-100379976260588",Trần Tiến Đạt
Trần Tiến Đạt kkkkkk,Trần Tiến Đạt
Đây nữa,
James Nguyen cái bọn báo tuổi trẻ cũng là 1 ổ phản động núp bóng nhân quyền,James Nguyen
"Thôi dẹp mịa đi có nói nữa cũng ko có cửa ở VN nữa đâu, trên các bức ảnh đăng tải đều có cờ 3/// còn to còi. Dân Việt là cờ đỏ sao vàng ko nói nhiều!",
Phương ByBy đã đúng còn nói to. Cờ Đỏ sao vàng ( VIỆT NAM),Phương ByBy
"Phương ByBy hóng thẻm nè
www.facebook.com/l.php?u=s.id/profile-1000517374029929",Phương ByBy
Shjnara,Shjnara
Bọn xướng ca nó mà giống thế chắc bọn fan thổ huyết mà chết hết quá.,
"1 là dõng dạc: ""bố mài là 3/ đây, cờ zàng muôn năm!""",
"Quốc Nghiệp đi nước ngoài diễn suốt, mà giả bộ hoài, làm như mới ra nước ngoài lần đầu. Cả gđ đi định cư mà dài dòng quá",
Kim Huỳnh Có lẽ xin tị nạn,Kim Huỳnh
"Kim Huỳnh 3 que lâu r
www.facebook.com/l.php?u=s.id/profile-100052019374228-mibexID-LQQJ4d",Kim Huỳnh
"Hơi tiếc, nhưng thôi",
Hoàng Nhật Linh,Hoàng Nhật Linh
"Đấy yêu nước mà treo cờ 3/ rồi làm từ thiện cho dân Mỹ , còn chị tao làm từ thiên cho dân VN nè , giờ tụi mày thấy ai đáng kính hơn chưa ? Tụi mày quay xe đi , chị tao xứng đáng đc tôn trọng",
Nguyễn Chí Linh dkm m cứ bôi chị tao ra lgi,Nguyễn Chí Linh
tẩy chay,
"Ăn cháo đá bát. Ba que xỏ lá. Vợ dại thì chồng khuyên, chồng ngu thì vợ cản đây đc cả đôi Vì Tiền Bán Nước Cầu Xô",
Vô tình để khán giả biết chuyện chứ ko phải vô tình bị dính thị phi. Khán giả là cần câu cơm của chúng. Giờ tẩy chay cho chúng hết đường làm ăn ở VN luôn,
Thắm Nguyễn này thì ai bảo Phuket lùa gà nữa đi,Thắm Nguyễn
"Thắm Nguyễn https://www.facebook.com/share/HLUpd8qn9jKw1B2n/?mibextid=WC7FNe
Phuket hóng đc từ trc hay thiệt",Thắm Nguyễn
Thắm Nguyễn fuket mãi đỉnh,Thắm Nguyễn
Thắm Nguyễn,Thắm Nguyễn
Rồi nhà nước có tịch thu giải thưởng với danh hiệu nghệ sĩ ưu tú của ông này ko ta?,
"Vy Sue hi vọng làm căng, thu hồi danh hiệu đi cho chúng nó sợ. Chứ h thấy mấy đứa nghệ sĩ dởm là hay mơ mẽo lắm rồi á. Thích cho đi luôn khỏi về VN.",Vy Sue
Real south việt nam,
Việt Nam không có 1 Ngọc Mai cũng chẳng chết ai. Tẩy chay!,
Nguyễn Đức Hùng,Nguyễn Đức Hùng
"Coi có dám về VN nữa không là biết à
Các b cứ chờ mà xem
K baoh dám về VN nữa mô… See more",
"Tuấn Đạt Nguyen túm cc, muốn túm CA túm lâu rồi, làm như bên CA ko biết gì",Tuấn Đạt Nguyen
Bao Binh bây giờ dính cờ 3 que rồi đó. Đéo cãi được đâu :)),Bao Binh
"Bao Binh họ sinh sống, làm ăn bên đó thì có nòi gì ở nước ta thì làm sao có quyền bắt được? Phải đợi họ về và sống trên lãnh thổ Việt rồi mới bắt được chứ",Bao Binh
"Nguyễn Quý về cũng dell bắt, ko cho nhập cảnh thôi, bắt cc í",
Bao Binh dốt,Bao Binh
"Tuấn Đạt Nguyen thế mày tưởng CA Việt Nam dốt như mày à, muốn bắt là bắt lâu rồi.",Tuấn Đạt Nguyen
Nguyễn Quý bắt cl Cung Lê mặc quần vàng 3 sọc đỏ chụp ảnh với cờ vàng vẫn về VN như đi chợ . Đừng cực đoan quá người ta ở nước ngoài treo cờ gì thì kệ mẹ người ta. có nghệ sĩ nào treo cờ Đài Loan mà bị phong sát ở TQ đâu,
Chắc nhà anh khát lắm,
"Lộ nguyên bản chất mà vẫn còn muốn bòn rút tiền của người Việt trong nước được thì cũng ạ độ mặt dày của nhà này.
Cơ thủ môn Bi a khi thấy trung quốc lồng đường lưỡi bò
vô giải đấu thì nghỉ chơi bỏ về còn anh chị thì kiểu "" ơ tôi có thấy gì đâu biết… See more",
Không phải Ngu mà Cố tình,
Nhìn ông anh vô địch bia gì mà thấy đường lưỡi bò ko thèm thi nữa ấy. Đấy mới là người Việt Nam nhé. Thôi sa cơ thì thất mẹ nó nghiệp đi nhé.,
Phạm Ngọc Khương ông này ấy hả,Phạm Ngọc Khương
"Nhà nước chưa phong sát thì chúng ta tẩy chay trước,bằng chứng rõ ràng thế này coi vợ ck Mai cali cãi thế nào",
1-2-3 Dí,
"Góp Shít Mùa Xuân, chtrinh ý nghĩa ghê",
Sao k lấy tên riêng luôn đi sao còn lấy tên nước bọn t mà ăn lol à,
Nguyễn Nhân càng nói càng lộ,Nguyễn Nhân
Quốc nhục quốc hận,
Dí ả ngọc mu tới cùng cho t,
Dm theo cái chương trình 3///,
"Ko ấy cả nhà a thoát Việt mẹ đi cho chúng tôi nhờ :)) tha hồ sang ""Mỷ"" ăn bơ thừa sữa cặn :)) quá là tuyệt vời :))",
Hồ Huyền fan TLTV chắc luôn,Hồ Huyền
3/// vẫn là 3/// đéo nói nhiềub,
Ở đây chúng tôi ko nghe giải thích ba láp ba xàm ba que . Lêu lêuuuuuuu,
"Tay dơ thì lấy nước rửa, nước dơ thì lấy máu mà rửa… cơ 3 que thì dơ mắt rồi",
Nhìn thấy cờ 3que mà còn chụp hình thì thứ nhất là dốt thứ 2 là nó đã nhận 3que là quê hương nó,
Có khi nào là cố tình để lấy 1 vé đi Mỹ ko :))),
"Lê Huy nó đăng bài hoàn thành giấc mơ mẽo rồi mà bạn. Chắc có thẻ xanh rồi, nên h ko giấu nữa.",Lê Huy
MaiPhương Nguyễn,MaiPhương Nguyễn
"Vậy là biết thừa có chiến dịch này mà vẫn cố tình tgia thì ko p là vô tình đâu, cút đi cho khuất mắt",
Phong sát ngay và liền,
"Có ai dám cắm cờ cộng sản Việt Nam ở Mỹ không? câu trả lời là không có. Tất cả chúng ta đều biết lý do tại sao. Chỉ có thể có một lá cờ Việt Nam trên đất Mỹ. Nếu bạn đặt sai, bạn sẽ bị phân biệt đối xử.",
Bao Kha Tran Nguyen cờ nào là cờ cộng sản thế bạn? Cờ đỏ sao vàng là Quốc kỳ hiện tại của Việt Nam và được thế giới công nhận chứ không phải là cờ của riêng Đảng Cộng sản Việt Nam nhé. Phân biệt cho rõ rồi hẵng nói phân biệt này nọ,Bao Kha Tran Nguyen
"Vũ Ngọc Dũng Tôi đồng ý với bạn. Lá cờ hiện tại được tất cả các quốc gia thừa nhận, nhưng bạn đã thấy ai treo lá cờ đó và sống hòa bình ở Mỹ chưa? Câu trả lời là chưa. Bạn có thể cung cấp cho tôi bằng chứng nếu bạn không đồng ý.",Vũ Ngọc Dũng
"Bao Kha Tran Nguyen bạn có nhầm lẫn sự việc không thế? Ai bắt chúng nó phải treo cờ Việt Nam trên giường đâu? Chúng nó là nghệ sĩ, hoạt động trong nước, thậm chí được phong tặng danh hiệu cũng từ trong nước thì phải có ý thức. Cái tối thiểu là phải ki… See more",Bao Kha Tran Nguyen
"Bao Kha Tran Nguyen còn việc treo cờ Tổ quốc bên Mỹ, bạn nên qua địa chỉ này nhé xem có hoà bình không. Chỗ đấy treo công khai đấy",Bao Kha Tran Nguyen
"Vũ Ngọc Dũng vâng, chỉ có đại sứ quán. Tôi đang nói về sở hữu tư nhân. Không có chủ sở hữu tư nhân nào như chủ nhà hàng, quán cà phê dám treo cờ. Tôi nghĩ có rất nhiều người Việt Nam muốn đại diện cho lá cờ nhưng họ không thể, điều đó rất đáng tiếc nhưng đó là thực tế.",Vũ Ngọc Dũng
"Bao Kha Tran Nguyen dân bên ấy t ko nói ,nhưng người Việt Nam dc tổ chức cờ vàng mời diễn có dc từ chối ko.Nên sai vẫn là sai",Bao Kha Tran Nguyen
Bao Kha Tran Nguyen mẽo là cdb gì mà phải cắm cờ trên đất mẽo?? Tư duy nô lệ ngấm vào máu rồi à,Bao Kha Tran Nguyen
Lê Ngọc Thụy chuẩn bro nói hay,
"Vũ Ngọc Dũng phép vua thua lệ làng, cờ VN ở ngoài DC thì treo để ngoại giao giữa các nước thôi, còn người Việt sống ở Mỹ từ xưa đến nay đều treo cờ kia cả. Sống ở đâu thì phải theo ở đó, chứ chưa thấy chỗ nào treo cờ Toquoc ở đây cả ( trừ Dc). Còn muốn… See more",Vũ Ngọc Dũng
"Wink Lash con điên, mày có cần tao show ra bao nhiêu bang ở Mỹ tao đã đi qua không? Ngu thì ngậm mẹ mày mõm vào mà đọc lại điều tao viết ở trên kia kìa. Visa Mỹ mà làm như ảnh thờ nhà mày không bằng. Hãm lọ",
"Wink Lash có cái ccc nhé,cái loại ngu thì bị phải treo thôi, chắc chúng tao thích qua đó quá",
Hoang Anh Tran chả có nhẽ chỉ vì 1 con “butterfly break” mà lại phải trưng cái visa mình đã có đôi ba lần cho nó xem để nó thấy nó hạ đẳng ntn =)),Hoang Anh Tran
"Vũ Ngọc Dũng Dtcn nghĩ bên đó là cái lol gì ko biết, bên đó đang khổ nhăn răng ra, tinh tướng",Vũ Ngọc Dũng
"Hoang Anh Tran nó chắc đ gì đi được bên đấy nhiều bằng anh luôn ý. Đã là cái phận tha hương thì ngậm cmn mõm vào mà kiếm sống, hoặc không thì chí ít cũng nói năng lịch sự như cái cậu bên trên, đây lại thích ngồi dưới hố xí nghĩ trời nó bé bằng cái lỗ cơ =))",Hoang Anh Tran
"Vũ Ngọc Dũng còn ko có tiền mà về kia kìa , về xong thấy sướng quá lại ko dc ở lại mới tổn thươnnnn cơ, ờ kerrr",Vũ Ngọc Dũng
Hoang Anh Tran lại còn chỉ cách cho mình xin visa đi du lịch và check in nữa mới HÀI chứ. Cười té cmn ghế ngài ạ. Chả nhẽ lại hỏi nó biết Cơ Thiếu Hoàng không. Mà hỏi chắc cũng méo biết. Bị ngu mà =)),Hoang Anh Tran
"Vũ Ngọc Dũng
🙂‍↔️",Vũ Ngọc Dũng
"Bao Kha Tran Nguyen 760 United Nations Plaza, New York, NY 10017, USA. Địa chỉ này cũng có treo cờ đỏ sao vàng nè.",Bao Kha Tran Nguyen
"Bao Kha Tran Nguyen du học sinh các bạn ấy treo đầy cờ Việt Nam đấy, bố cái loại ất ơ tự nhục",Bao Kha Tran Nguyen
"Đào Xuân Chiến treo thầm thôi
, không có quán ăn, Café nào hết. Có rất nhiều người
qua đây sống và kinh doanh nhưng tôi chưa thấy ai dám làm.
Chưa có
nào gắn cờ, gắn là bị đập. Nói chung là thù hận cũng trăm năm nữa may ra hết
. Tôi thấy làm t… See more",Đào Xuân Chiến
"Bao Kha Tran Nguyen qua đây là đâu? Cali hả, tàn dư nguỵ quyền thì chả thế
Làm gì mà mấy trăm năm nữa, đám nguỵ già may ra được chục năm nữa.",Bao Kha Tran Nguyen
"Và hai vợ chồng nó lại trở về nói tiếng Việt, kiếm tiền Việt trên đất Việt Nam. Ko tẩy chay triệt để thì hơi phí.",
Thanh minh là thú tội mà tội phản quốc là tẩy chay.,
Q.N càng làm tôi thêm yêu cơ thủ Trần Quyết Chiến,
Phong sát,
"3 que từ trong máu
ôi cái đám nghẹo sĩ phia nam bị bà H chửi tan nát củng đúng, kiếm cơm kiếm cháo tạo dk thuận lợi cho lên làm ba làm má thiên hạ xong cuối đời bòn tiền qua mẽo đế ăn c ứt vàng quay lưng với dân tộc, lũ khốn nạn.",
"Vào Tập đoàn BĐS Thiên Khôi kiếm thu nhập không giới hạn, thời gian làm việc tự do, đào tạo bài bàn cầm tay chỉ việc, môi trường chuyên nghiệp.
Liên hệ tìm hiểu công viêc. Mr Hiếu: 09166.177.39.",
Trần Trung Hiếu vào thắp hương bố mài à,Trần Trung Hiếu
Vô tình gì thì khi vô phòng sẽ thấy 2 lá cờ cắm chà bá trên đầu giường. Ng tinh tế hay ko tinh tế đi nữa khi thấy 2 lá cờ đó ngta cũng sẽ đem dẹp đi. Này là cố ý và coi đó là hiển nhiên mới k đem đi dẹp. Này thì mong cơ quan chức năng làm mạnh tay,
"Coi mấy thướt phim ông cha ta bị hành hạ , tra tấn bao nhiu thì căm phẩn con này bấy nhiu. Ko để vụ này chìm dc",
"Là vừa mún húp tiền Việt, vừa mún bợ đít bọn đu càng hả ta. Khôn dữ",
1 pha đi vào lòng đất. NSUT quả này lại ảnh hưởng rồi.,
Nghiệp súc,
"Loại nào chứ loại 3que thì cútt con mẹ nó hết đii , giờ có kể sao hạng A hay gì thì t cũng chửi cho thúi đầu",
Không nói nhiều: Hai con chó,
Haizzz cãi nhau chi nhỉ.,
Đến giờ tui vẫn nghi vụ anh Tô vu khống chắc có gì đó để tẩy trắng,
dm Nguyen Le Vy Thao,Nguyen Le Vy Thao
Lòi l chiến này,
Nguyên một tổ chúc luôn Lâm Hỷ,Lâm Hỷ
Ủng hộ CQCN làm mạnh tay ko có loại trừ ai,
"Thôi thì đã lỡ sa CƠ
Ngày mai thất NGHIỆP mình làm ÔSIN",
"ai thờ chủ nấy kệ họ đi, như trung quốc với đài loan tuy chính trị bất đồng nhưng dân họ vẫn yêu mến nhau..diễn viên, ca sỹ đài qua trung dc chào đón quá trời..ghét nhau thì nhà cũng ko to ra dc miếng nào ghét làm gì.",
"Thật sự t đi Phú Quốc du lịch về, được tham quan di tích Nhà Tù t thực sự căm phẫn và ghét cay ghét đắng cái lũ Việt Nam Cộng Hoà, lũ Nguỵ Quyền bán nước hại dân, lũ phản phúc. Cho nên dù có yêu thích hay thần tượng gì đi nữa, cứ dính dáng đến cái lũ ấ… See more",
Ở bển luôn khỏi về,
"Thôi quả này ở bển luôn thôi. Về là bị bế lên phường đấy
.",
Cầm cờ đỏ sao vàng chạy 1 vòng Cali chửi lũ cộng hoà bán nước cầu vinh chúng tao tin.,
Trần Hữu Tùng giống điên quá. Trả về nơi sản xuất ngay và luôn. Ở lại làm dơ bẩn nước người ta,Trần Hữu Tùng
Bui Cao Son,Bui Cao Son
Hồng Luyên,Hồng Luyên
Sao càng gỡ càng rối vậy,
"Phản động bóc phốt nhau, hay nè",
Có con trẻ đi du lịch hè mà nói không kiểm soát lịch trình nơi ăn chốn ở thì không tin được.,
"Thì cái này họ vô tình thật mà...
Vô tình bị phát hiện",
"O tròn như quả trứng gà
Ô thì đội mũ
Ơ kìa 3 q,u,e",
Long Bắp chả có vô tình gì ở đây cả đúng khônv Long. Mắt anh có mù đâu mà không thấy cái cờ nằm ở đó,Long Bắp
https://www.facebook.com/groups/2103208890049928 mọi người vào nhóm tẩy chay bọn 3 ke đi ạ,https://www.facebook.com/groups/2103208890049928
Ủa có gì hot mình bỏ qua rồi sao,
"Nói thật bọn 3 que chả cái đếch gì, ông cha nó nhận bọn Tây làm tổ tiên, xong quay lưng chía vào người mình, súc vật thật t mà thấy t cắt cổ chúng",
"Đất nước đổ bao xm để dành độc lập, bọn 3/ bán nước vẫn giữ lá cờ đó hoạt động hội nhóm công khai thế này đuôi hay sao mà vô tình. Hoạt động chung để nhóm này lớn mạnh phản nước lần nữa hay j?",
Bò đỏ nhiều quá,
"Showbiz Việt ấp cả lò phản động ấy chứ :))))
Cầm đầu hội Hoài Linh, Trấn Thành, Đàm Vĩnh Hưng.... đồ nè
Dây mơ rễ má 1 bọn chống phá kích động dữ lắm",
"TỘI GÌ CÓ THỂ THA THỨ CHỨ TỘI NÀY THÌ CHỈ CÓ ""CÚT""",
Đang thèm đi mỹ ngụy,
Duc Thang Bui sao mà lại anti chị O Súng vậy,Duc Thang Bui
Thi Dương 3 que xỏ lá. di chêt bẹ n đi chứ chệ kkk,Thi Dương
Hương Huỳnh khỏi lươn,Hương Huỳnh
"Trước năm 95 mấy tổ chức này đâu sao ko hiện lên trả nợ cho bọn Mỹ đi nhỉ
dân Việt Nam còng lưng trả hết nợ thì bọn nó lại lòi ra như nấm",
"Cho mình hỏi có cờ đó là thực sự sẽ theo phe phản việt hả mn,kiểu có làm hành động gì ảnh hưởng đất nước hả, tại bên ng quen mình hình như có",
"Ngọt Ngào Chính quyền bất hợp pháp, việt nam cộng hoà ra đời 1 cách bất hợp pháp trên lãnh thổ phía nam của Việt Nam",Ngọt Ngào
